id,value,color
Skill,,
Skill.Media and Communications,,
Skill.Media and Communications.Communication,49%,#568392
Skill.Media and Communications.Writing,34%,#568392
Skill.Media and Communications.Presentations,20%,#568392
Skill.Media and Communications.Verbal Communication Skills,14%,#568392
Skill.Media and Communications.Interpersonal Communciations,12%,#568392
Skill.Media and Communications.Report Writing,9%,#568392
Skill.Business,,
Skill.Business.Management,63%,#781E62
Skill.Business.Operations,30%,#781E62
Skill.Business.Coordinating,26%,#781E62
Skill.Physical and Inherent Abilities,,
Skill.Physical and Inherent Abilities.Planning,34%,#CFC5CC
Skill.Physical and Inherent Abilities.Leadership,23%,#CFC5CC
Skill.Physical and Inherent Abilities.Problem Solving,13%,#CFC5CC
Skill.Physical and Inherent Abilities.Detail Oriented,12%,#CFC5CC
Skill.Physical and Inherent Abilities.Organizational Skills,9%,#CFC5CC
Skill.Science and Research,,
Skill.Science and Research.Research,45%,#9EBDC4
Skill.Administration,,
Skill.Administration.Microsoft Excel,15%,#913B45
Skill.Administration.Microsoft Office,13%,#913B45
Skill.Administration.Microsoft PowerPoint,10%,#913B45
Skill.Customer and Client Support,,
Skill.Customer and Client Support.Customer Service,13%,#B16E85
"Skill.Law, Regulation and Compliance",,
"Skill.Law, Regulation and Compliance.Investigation",9%,#D7D2CB
