id,value,color
Skill,,
Skill.Media and Communications,,
Skill.Media and Communications.*Communication*,52%,#568392
Skill.Media and Communications.Writing,33%,#568392
Skill.Media and Communications.*Presentations*,20%,#568392
Skill.Media and Communications.Interpersonal Communciations,15%,#568392
Skill.Media and Communications.Verbal Communication Skills,14%,#568392
Skill.Media and Communications.Report Writing,10%,#568392
Skill.Business,,
Skill.Business.Management,60%,#781E62
Skill.Business.Coordinating,30%,#781E62
Skill.Business.Operations,26%,#781E62
Skill.Business.Consulting,11%,#781E62
Skill.Physical and Inherent Abilities,,
Skill.Physical and Inherent Abilities.Planning,43%,#CFC5CC
Skill.Physical and Inherent Abilities.Leadership,32%,#CFC5CC
Skill.Physical and Inherent Abilities.*Problem Solving*,16%,#CFC5CC
Skill.Physical and Inherent Abilities.Detail Oriented,14%,#CFC5CC
Skill.Physical and Inherent Abilities.Innovation,12%,#CFC5CC
Skill.Physical and Inherent Abilities.Self-Motivation,11%,#CFC5CC
Skill.Science and Research,,
Skill.Science and Research.Research,39%,#9EBDC4
Skill.Administration,,
Skill.Administration.Microsoft Excel,14%,#913B45
Skill.Administration.Microsoft Office,13%,#913B45
Skill.Finance,,
Skill.Finance.Budgeting,12%,#B16E85
