id,value,color
Skill,,
Skill.Environment,,
Skill.Environment.Forestry,21%,#861F41
Skill.Environment.Natural Resource Management,19%,#861F41
Skill.Environment.Ecology,19%,#861F41
Skill.Environment.Wildlife Management,18%,#861F41
Skill.Environment.Soil Science,14%,#861F41
Skill.Environment.Land Management,9%,#861F41
Skill.Environment.Water Conservation,8%,#861F41
Skill.Science and Research,,
Skill.Science and Research.Biology,38%,#E5751F
Skill.Science and Research.Environmental Science,19%,#E5751F
Skill.Science and Research.Field Research,10%,#E5751F
Skill.Science and Research.Wildlife Biology,9%,#E5751F
Skill.Science and Research.Chemistry,8%,#E5751F
Skill.Business,,
Skill.Business.Project Management,17%,#508590
Skill.Business.Resource Management,10%,#508590
Skill.Information Technology,,
Skill.Information Technology.Geographic Information Systems (GIS),13%,#642667
Skill.Information Technology.Data Collection,10%,#642667
"Skill.Agriculture, Horticulture, and Landscaping",,
"Skill.Agriculture, Horticulture, and Landscaping.Agriculture",15%,#2CD5C4
"Skill.Law, Regulation, and Compliance",,
"Skill.Law, Regulation, and Compliance.Land Tenure",12%,#CE0058
Skill.Analysis,,
Skill.Analysis.Data Analysis,9%,#75787b
Skill.Marketing and Public Relations,,
Skill.Marketing and Public Relations.Marketing,9%,#F7EA48
