id,value,color
Skill,,
Skill.Business,,
Skill.Business.Business Analysis/Analytics,97%,#861F41
Skill.Business.Project Management,43%,#861F41
Skill.Business.Business Process,20%,#861F41
Skill.Business.Process Improvement,18%,#861F41
Skill.Business.Key Performance Indicators (KPIs),14%,#861F41
Skill.Business.Business Strategies,14%,#861F41
Skill.Business.Workflow Management,11%,#861F41
Skill.Finance,,
Skill.Finance.Finance,53%,#E5751F
Skill.Finance.Accounting,36%,#E5751F
Skill.Finance.Financial Analysis,20%,#E5751F
Skill.Finance.Financial Statements,16%,#E5751F
Skill.Finance.Financial Planning,11%,#E5751F
Skill.Analysis,,
Skill.Analysis.Data Analysis,28%,#508590
Skill.Analysis.Tableau (Business Intelligence Software),12%,#508590
Skill.Marketing and Public Relations,,
Skill.Marketing and Public Relations.Marketing,24%,#642667
Skill.Economics/Policy/Social Studies,,
Skill.Economics/Policy/Social Studies.Economics,15%,#2CD5C4
Skill.Information Technology,,
Skill.Information Technology.SQL (Programming Language),15%,#CE0058
"Skill.Law, Regulation, and Compliance",,
"Skill.Law, Regulation, and Compliance.Auditing",13%,#75787b
Skill.Manufacturing and Production,,
Skill.Manufacturing and Production.New Product Development,11%,#F7EA48
