id,value,color
Skill,,
Skill.Economics/Policy/Social Studies,,
Skill.Economics/Policy/Social Studies.Political Sciences,94%,#E5751F
Skill.Economics/Policy/Social Studies.Sociology,35%,#E5751F
Skill.Economics/Policy/Social Studies.Economics,30%,#E5751F
Skill.Economics/Policy/Social Studies.Social Sciences,28%,#E5751F
Skill.Economics/Policy/Social Studies.Public Policies,26%,#E5751F
Skill.Economics/Policy/Social Studies.International Relations,22%,#E5751F
Skill.Economics/Policy/Social Studies.Public Administration,15%,#E5751F
Skill.Economics/Policy/Social Studies.Anthropology,14%,#E5751F
Skill.Economics/Policy/Social Studies.Political Economy,7%,#E5751F
Skill.Science and Research,,
Skill.Science and Research.Geography,10%,#861F41
Skill.Science and Research.Research Methodologies,10%,#861F41
Skill.Science and Research.Quantitative Research,8%,#861F41
Skill.Science and Research.Behavioral Science,6%,#861F41
Skill.Analysis,,
Skill.Analysis.Statistics,9%,#508590
Skill.Analysis.Data Analysis,7%,#508590
Skill.Analysis.Data Science,7%,#508590
Skill.Health Care,,
Skill.Health Care.Psychology,17%,#642667
Skill.Information Technology,,
Skill.Information Technology.Computer Science,7%,#CE0058
Skill.Education and Training,,
Skill.Education and Training.Pedagogy,7%,#75787b
Skill.Marketing and Public Relations,,
Skill.Marketing and Public Relations.Public Affairs,6%,#F7EA48
,,
,,
